Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides WT_1	Peptides WT_2	Peptides WT_3	Peptides KO_1	Peptides KO_2	Peptides KO_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Razor + unique peptides KO_1	Razor + unique peptides KO_2	Razor + unique peptides KO_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Unique peptides KO_1	Unique peptides KO_2	Unique peptides KO_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type WT_1	Identification type WT_2	Identification type WT_3	Identification type KO_1	Identification type KO_2	Identification type KO_3	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Sequence coverage KO_1 [%]	Sequence coverage KO_2 [%]	Sequence coverage KO_3 [%]	Intensity	Intensity WT_1	Intensity WT_2	Intensity WT_3	Intensity WT_4	Intensity KO_1	Intensity KO_2	Intensity KO_3	Intensity KO_4	iBAQ	iBAQ WT_1	iBAQ WT_2	iBAQ WT_3	iBAQ KO_1	iBAQ KO_2	iBAQ KO_3	MS/MS count WT_1	MS/MS count WT_2	MS/MS count WT_3	MS/MS count KO_1	MS/MS count KO_2	MS/MS count KO_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	reshuffled	reshuffled (#1)
P62314	P62314	4	4	4	Small nuclear ribonucleoprotein Sm D1	SNRPD1	Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens GN=SNRPD1 PE=1 SV=1	1	4	4	4	3	3	3	4	4	4	3	3	3	4	4	4	3	3	3	4	4	4	37.0	37.0	37.0	13.281	119	119	1.0	126	0.0	34.437	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.7	27.7	27.7	37.0	37.0	37.0	6.1382E9	2.642403227841775E8	7.020230138366102E7	2.820160837700589E8	2.642403227841775E8	2.7413842442315894E8	2.6274046443515214E8	2.0009981263588563E8	2.7413842442315894E8	1.2276E9	4.3172E7	5.5117E7	5.4282E7	6.0947E7	5.9497E7	5.8904E7	6	5	5	9	6	6	129	NA	NA	NA	2046	NA	NA
P62316;Q8RUH0	P62316	9;2	9;2	9;2	Small nuclear ribonucleoprotein Sm D2	SNRPD2	Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1	2	9	9	9	9	9	8	9	9	9	9	9	8	9	9	9	9	9	8	9	9	9	67.8	67.8	67.8	13.527	118	118;109	1.0	355	0.0	111.59	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	67.8	67.8	67.8	67.8	67.8	67.8	1.1534E10	6.135210883800592E8	1.2859990748137859E8	5.37198046861811E8	6.875004684427257E7	5.0049595179755604E8	5.414237312030023E8	4.502941076470867E8	8.127702262168278E7	1.4418E9	6.3394E7	6.3465E7	6.5315E7	6.7866E7	7.4656E7	7.0512E7	8	7	8	10	10	9	181	NA	NA	NA	2047	NA	1.0
P62318	P62318	4	4	4	Small nuclear ribonucleoprotein Sm D3	SNRPD3	Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	47.6	47.6	47.6	13.916	126	126	1.0	143	0.0	78.004	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	47.6	47.6	47.6	47.6	47.6	47.6	5.4863E9	2.552818922688536E8	6.3327165967307016E7	2.5088870500482962E8	1.7656557339627383E9	2.3141175320829782E8	2.2495936364786604E8	1.753719759101233E8	1.7744697788711452E9	6.0959E8	2.3133E7	2.7566E7	2.6772E7	2.8732E7	2.8454E7	2.9476E7	2	2	2	5	5	6	83	NA	NA	NA	2048	NA	1.0
P62328	P62328	2	2	2	Thymosin beta-4;Hematopoietic system regulatory peptide	TMSB4X	Thymosin beta-4 OS=Homo sapiens GN=TMSB4X PE=1 SV=2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	54.5	54.5	54.5	5.0526	44	44	1.0	41	0.0	9.1267	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	54.5	25.0	54.5	54.5	54.5	54.5	1.6197E9	6.3319829652988195E7	1.6841048682922073E7	7.226910055243172E7	1.4814846133107665E8	5.08957930232833E7	5.9136173736097835E7	3.508594476765102E7	1.4163731569550812E8	4.0493E8	1.2888E7	1.6012E7	1.7141E7	1.5598E7	1.8477E7	1.9055E7	1	1	1	1	2	2	44	NA	NA	NA	2049	NA	1.0
P62330	P62330	6	6	6	ADP-ribosylation factor 6	ARF6	ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2	1	6	6	6	2	3	2	5	3	3	2	3	2	5	3	3	2	3	2	5	3	3	60.0	60.0	60.0	20.082	175	175	1.0	92	0.0	12.351	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.9	26.3	14.9	53.7	26.3	26.9	1.0724E9	2.456399702109152E7	1.2588881539865803E7	2.5155259249907874E7	2.7600900421309814E7	5.291919738647818E7	2.941757583907517E7	2.1723234912803516E7	1.3302532849103738E7	1.1915E8	2249300.0	5305200.0	2655100.0	7613700.0	4282300.0	5966300.0	2	2	2	6	3	4	97	NA	NA	NA	2050	NA	1.0
P62333	P62333	22	22	17	26S protease regulatory subunit 10B	PSMC6	26S proteasome regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1	1	22	22	17	14	19	18	17	18	19	14	19	18	17	18	19	11	14	13	12	13	14	67.4	67.4	57.1	44.172	389	389	1.0	430	0.0	114.46	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.4	58.9	56.0	53.2	51.4	56.3	7.7491E9	3.092031698497338E8	9.180583366647391E7	3.801315568232672E8	1.9694348458964072E7	3.329991696158659E8	3.264025352744465E8	2.7122961832588404E8	1.9796759278043974E7	2.9804E8	9751400.0	1.3905E7	1.4124E7	1.4103E7	1.4074E7	1.4451E7	15	15	14	15	17	20	380	NA	NA	NA	2051	NA	1.0
P62341	P62341	1	1	1	Selenoprotein T	SELT	Thioredoxin reductase-like selenoprotein T OS=Homo sapiens GN=SELENOT PE=1 SV=2	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	10.8	10.8	10.8	22.324	195	195	1.0	7	0.0025189	1.799	NA	NA	NA	By matching	NA	NA	0.0	0.0	0.0	10.8	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	NA	NA	NA	2052	NA	NA
P62424	P62424	15	15	15	60S ribosomal protein L7a	RPL7A	60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2	1	15	15	15	12	13	13	13	13	13	12	13	13	13	13	13	12	13	13	13	13	13	51.1	51.1	51.1	29.995	266	266	1.0	525	0.0	215.04	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	50.0	50.4	50.4	50.4	50.4	50.4	2.0852E10	9.137743060485293E8	2.4319027894943473E8	9.156996233415471E8	9.137743060485293E8	8.954385859046525E8	9.104745178267651E8	8.436980986519423E8	8.954385859046525E8	1.604E9	5.8694E7	7.3942E7	6.9093E7	7.3662E7	7.6044E7	7.212E7	7	11	13	11	12	10	237	NA	NA	NA	2053	NA	NA
P62491;O04486;P28185;P57735	P62491	9;3;2;1	1;0;0;0	1;0;0;0	Ras-related protein Rab-11A	RAB11A	Ras-related protein Rab-11A OS=Homo sapiens GN=RAB11A PE=1 SV=3	4	9	1	1	9	9	8	9	9	9	1	1	0	1	1	1	1	1	0	1	1	1	51.4	13.4	13.4	24.393	216	216;217;216;213	1.0	35	0.0	5.6939	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	51.4	51.4	38.0	51.4	51.4	51.4	0.0	NA	NA	NA	7502234.486358096	NA	NA	NA	2197821.7252512984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	NA	NA	NA	2054	NA	1.0
P62495;Q9LPV8	P62495	15;1	15;1	14;0	Eukaryotic peptide chain release factor subunit 1	ETF1	Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens GN=ETF1 PE=1 SV=3	2	15	15	14	12	12	11	14	11	11	12	12	11	14	11	11	11	11	10	13	11	11	49.9	49.9	48.3	49.03	437	437;434	1.0	355	0.0	134.19	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.1	34.1	31.4	43.2	32.5	32.5	7.292E9	3.070664793915224E8	8.276421632664958E7	2.9174168479564863E8	1.822388784831918E7	3.2335171687137187E8	2.991263209055358E8	2.1622327886979908E8	1.0372288965170175E7	2.6043E8	8975500.0	1.1624E7	1.0048E7	1.2773E7	1.2033E7	1.1162E7	12	13	12	15	15	14	298	NA	NA	NA	2055	NA	1.0
P62633	P62633	6	6	6	Cellular nucleic acid-binding protein	CNBP	Cellular nucleic acid-binding protein OS=Homo sapiens GN=CNBP PE=1 SV=1	1	6	6	6	5	5	6	6	6	6	5	5	6	6	6	6	5	5	6	6	6	6	39.5	39.5	39.5	19.463	177	177	1.0	199	0.0	142.07	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.2	35.0	39.5	39.5	39.5	39.5	2.5036E9	1.0633265424709156E8	1.987905583519651E7	1.168525110251387E8	1.0633265424709156E8	1.0818606886626565E8	9.601857539077955E7	5.579553734271054E7	1.0818606886626565E8	1.5648E8	5367700.0	4771300.0	6924200.0	7969600.0	7211500.0	6747600.0	3	4	2	6	7	5	123	NA	NA	NA	2056	NA	NA
P62701	P62701	19	19	10	40S ribosomal protein S4, X isoform	RPS4X	40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2	1	19	19	10	19	18	17	18	18	19	19	18	17	18	18	19	10	10	9	10	9	10	63.5	63.5	37.3	29.597	263	263	1.0	602	0.0	124.8	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	63.5	59.3	58.6	61.2	62.7	63.5	4.5466E10	2.115832297249264E9	5.154577873639343E8	2.0987087141917348E9	2.3689377143310896E8	1.9897113029571362E9	2.063124909061388E9	2.4106475840964665E9	1.5161465759577584E8	2.165E9	8.5192E7	9.7142E7	9.9076E7	9.9549E7	1.0465E8	1.0511E8	19	11	13	15	17	20	362	NA	NA	NA	2057	NA	1.0
P62750;REV__Q969S3	P62750	13;1	13;1	13;1	60S ribosomal protein L23a	RPL23A	60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1	2	13	13	13	10	11	11	13	12	12	10	11	11	13	12	12	10	11	11	13	12	12	55.1	55.1	55.1	17.695	156	156;477	1.0	433	0.0	61.669	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	55.1	55.1	55.1	55.1	55.1	55.1	2.2856E10	8.168728398369693E8	2.1821406700410062E8	8.235371230151267E8	8.368593848322187E7	9.609809033360705E8	1.0626732761552552E9	1.007105107509351E9	4.5075226903826125E7	2.5396E9	7.58E7	9.5838E7	8.9767E7	1.1416E8	1.2818E8	1.2071E8	8	10	9	16	14	13	268	NA	NA	NA	2058	NA	1.0
P62753	P62753	8	8	8	40S ribosomal protein S6	RPS6	40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1	1	8	8	8	6	6	7	8	7	7	6	6	7	8	7	7	6	6	7	8	7	7	32.5	32.5	32.5	28.68	249	249	1.0	238	0.0	86.039	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.3	28.1	32.1	32.5	32.1	32.1	2.1795E10	8.302356568347784E8	2.5345148162466124E8	1.0300589503151546E9	2.3256844972123608E8	1.0236092973220824E9	1.0283887327381876E9	8.11507567356049E8	2.814170747634968E8	1.6765E9	5.3374E7	7.7073E7	7.7775E7	8.4111E7	8.5787E7	6.9734E7	8	5	10	7	7	6	181	NA	NA	NA	2059	NA	1.0
P62805	P62805	9	9	2	Histone H4	HIST1H4A	Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	1	9	9	2	9	8	8	9	9	9	9	8	8	9	9	9	2	2	2	2	2	2	59.2	59.2	17.5	11.367	103	103	1.0	1258	0.0	121.06	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	59.2	58.3	58.3	59.2	59.2	59.2	5.957E11	2.554978586164955E10	6.698317184946414E9	2.704686461874347E10	1.5817019522534898E7	2.6710139841514225E10	2.7904417965944378E10	5.151511379841679E10	9065359.482890135	9.9283E10	3.7098E9	4.4018E9	4.5782E9	4.5019E9	4.7712E9	4.5552E9	38	41	42	37	41	50	926	NA	NA	NA	2060	NA	1.0
P62820	P62820	13	13	6	Ras-related protein Rab-1A	RAB1A	Ras-related protein Rab-1A OS=Homo sapiens GN=RAB1A PE=1 SV=3	1	13	13	6	11	10	9	10	10	9	11	10	9	10	10	9	4	4	4	5	4	4	64.4	64.4	27.8	22.677	205	205	1.0	328	0.0	239.36	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	58.5	54.6	45.4	52.2	54.6	46.8	1.1601E10	5.870759888720882E8	1.4532958229306215E8	5.726561252865812E8	4.001759720668471E7	4.2711226684085065E8	5.405991539551914E8	3.515188231786319E8	4.177445029843561E7	6.445E8	2.6942E7	3.1873E7	3.0926E7	2.5769E7	3.317E7	2.5526E7	10	9	9	12	14	11	261	NA	NA	NA	2061	NA	1.0
P62826	P62826	14	14	11	GTP-binding nuclear protein Ran	RAN	GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3	1	14	14	11	13	11	11	13	13	13	13	11	11	13	13	13	10	8	8	10	10	10	51.4	51.4	41.7	24.423	216	216	1.0	476	0.0	129.65	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	50.9	47.2	47.2	50.9	50.9	50.9	4.9999E10	2.2003330329785323E9	5.623590125756035E8	2.0529345223175194E9	NA	2.3385303252169185E9	2.299622256603182E9	2.173801941971612E9	2412944.579220922	4.1666E9	1.5513E8	1.8548E8	1.697E8	2.0456E8	2.0393E8	1.6859E8	12	12	15	17	14	17	359	NA	NA	NA	2062	NA	1.0
P62829	P62829	7	7	5	60S ribosomal protein L23	RPL23	60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1	1	7	7	5	7	7	7	7	7	7	7	7	7	7	7	7	5	5	5	5	5	5	62.1	62.1	50.7	14.865	140	140	1.0	227	0.0	52.952	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	62.1	62.1	62.1	62.1	62.1	62.1	1.7945E10	8.544987312287091E8	2.2813284771401435E8	8.36852778071361E8	2.858418571557461E7	7.761308779375049E8	7.520192844505479E8	7.479009544029721E8	2.841445640760262E7	1.9939E9	7.912E7	1.0017E8	9.1056E7	9.2472E7	9.0998E7	9.4493E7	6	7	7	7	6	6	145	NA	NA	NA	2063	NA	1.0
P62834	P62834	9	9	3	Ras-related protein Rap-1A	RAP1A	Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1	1	9	9	3	7	7	9	8	9	8	7	7	9	8	9	8	2	2	3	2	3	2	58.2	58.2	15.2	20.987	184	184	1.0	295	0.0	145.05	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	45.1	45.1	58.2	58.2	58.2	58.2	6.9131E9	3.055802110557553E8	6.886051495560229E7	3.158652158544994E8	3.147247218314133E9	2.890588583452707E8	2.9024171536770946E8	2.310360179113252E8	3.0941111921144166E9	6.9131E8	2.4996E7	2.7068E7	3.0443E7	3.2015E7	3.2738E7	3.3075E7	6	6	6	11	12	7	193	NA	NA	NA	2064	NA	1.0
P62841	P62841	6	5	5	40S ribosomal protein S15	RPS15	40S ribosomal protein S15 OS=Homo sapiens GN=RPS15 PE=1 SV=2	1	6	5	5	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	60.0	55.9	55.9	17.04	145	145	1.0	319	0.0	137.63	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	60.0	60.0	60.0	60.0	60.0	60.0	4.5426E9	1.9890619179589108E8	5.561812263510383E7	2.332577372667366E8	1.9890619179589108E8	2.0118882790700248E8	1.794662646609142E8	1.368806219419558E8	2.0118882790700248E8	5.6783E8	2.0226E7	2.7143E7	2.791E7	2.8342E7	2.5762E7	2.7208E7	4	4	4	4	4	6	91	NA	NA	NA	2065	NA	NA
P62847	P62847	4	4	4	40S ribosomal protein S24	RPS24	40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1	1	4	4	4	4	4	3	4	4	4	4	4	3	4	4	4	4	4	3	4	4	4	34.6	34.6	34.6	15.423	133	133	1.0	147	0.0	44.49	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.6	34.6	28.6	34.6	34.6	34.6	6.508E9	2.6526745437882322E8	7.223708895573755E7	2.689490204190826E8	2.6526745437882322E8	2.9717792922461784E8	2.6807264020984274E8	2.1083134654868394E8	2.9717792922461784E8	9.2971E8	3.0967E7	4.0525E7	3.699E7	4.7149E7	4.3318E7	4.3905E7	4	4	6	9	7	10	181	NA	NA	NA	2066	NA	NA
P62851	P62851	7	7	7	40S ribosomal protein S25	RPS25	40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1	1	7	7	7	6	7	6	7	7	7	6	7	6	7	7	7	6	7	6	7	7	7	43.2	43.2	43.2	13.742	125	125	1.0	236	0.0	14.364	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.4	43.2	34.4	43.2	43.2	43.2	1.8613E10	8.124761282452502E8	2.1836340423632744E8	8.432976915180981E8	7.550671504367352E7	7.685763383126794E8	8.293957233364052E8	7.674779888514328E8	4.844012884807839E7	3.1022E9	1.1285E8	1.4382E8	1.3764E8	1.3734E8	1.5052E8	1.4481E8	7	4	3	4	4	4	83	NA	NA	NA	2067	NA	1.0
P62854;Q5JNZ5	P62854;Q5JNZ5	4;3	4;3	4;3	40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1	RPS26;RPS26P11	40S ribosomal protein S26 OS=Homo sapiens GN=RPS26 PE=1 SV=3;Putative 40S ribosomal protein S26-like 1 OS=Homo sapiens GN=RPS26P11 PE=5 SV=1	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	42.6	42.6	42.6	13.015	115	115;115	1.0	144	0.0	35.519	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.6	42.6	42.6	42.6	42.6	42.6	9.0283E9	4.255273631223399E8	1.0132681513960876E8	4.172401663949564E8	1.3270831956692155E7	3.811661442688597E8	3.7331914775216293E8	3.251709138208235E8	1.7552659097797412E7	1.5047E9	5.8312E7	6.6592E7	6.7335E7	6.9563E7	6.9339E7	7.2403E7	8	8	4	5	5	5	126	NA	NA	NA	2068	NA	1.0
P62857;P34789	P62857	3;1	3;1	3;1	40S ribosomal protein S28	RPS28	40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1	2	3	3	3	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	46.4	46.4	46.4	7.8409	69	69;64	1.0	53	0.0	13.415	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	46.4	30.4	30.4	30.4	30.4	30.4	4.7663E9	2.6301713675015193E8	6.000716730310196E7	2.6940961251775134E8	2.6301713675015193E8	2.0080326812754542E8	2.0020595255424714E8	1.4240010009934834E8	2.0080326812754542E8	1.5888E9	7.1434E7	7.8265E7	8.6139E7	7.5026E7	7.6209E7	7.4574E7	3	2	2	2	2	4	62	NA	NA	NA	2069	NA	NA
P62873;P16520;REV__Q9ZR37	P62873	13;2;1	13;2;1	7;0;1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens GN=GNB1 PE=1 SV=3	3	13	13	7	9	9	8	11	8	10	9	9	8	11	8	10	4	4	4	5	3	4	57.9	57.9	36.8	37.377	340	340;340;198	1.0	275	0.0	244.64	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.6	32.6	29.4	48.8	29.1	37.9	4.3962E9	2.114134113430256E8	5.482826093865623E7	1.5982483132141867E8	2.114134113430256E8	2.0049136375070608E8	1.6887667236482763E8	1.1166600869824848E8	2.0049136375070608E8	3.3817E8	1.3212E7	1.643E7	1.1748E7	1.7469E7	1.4994E7	1.4202E7	8	7	7	10	8	10	206	NA	NA	NA	2070	NA	NA
P62875;Q8LFJ6	P62875	3;1	3;1	3;1	DNA-directed RNA polymerases I, II, and III subunit RPABC5	POLR2L	DNA-directed RNA polymerases I, II, and III subunit RPABC5 OS=Homo sapiens GN=POLR2L PE=1 SV=1	2	3	3	3	2	1	2	3	3	1	2	1	2	3	3	1	2	1	2	3	3	1	38.8	38.8	38.8	7.645	67	67;71	1.0	42	2.445E-4	3.1259	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	22.4	9.0	29.9	38.8	38.8	13.4	3.4975E8	1.782350790043179E7	1961005.2980932002	1.876446904439101E7	NA	1.2365841037901009E7	1.7613831067936875E7	2264391.467873424	1458958.289092826	6.995E7	2878100.0	1501900.0	3529500.0	3148300.0	4455400.0	1602800.0	0	0	0	2	1	1	27	NA	NA	NA	2071	NA	1.0
P62877	P62877	3	3	3	E3 ubiquitin-protein ligase RBX1;E3 ubiquitin-protein ligase RBX1, N-terminally processed	RBX1	E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens GN=RBX1 PE=1 SV=1	1	3	3	3	2	2	2	3	3	3	2	2	2	3	3	3	2	2	2	3	3	3	29.6	29.6	29.6	12.274	108	108	1.0	53	0.0	8.92	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	22.2	22.2	22.2	29.6	29.6	29.6	8.4503E8	2.568634721753344E7	8488056.329713495	2.2451125262790963E7	2778270.1098668394	3.1921067556607362E7	3.1083546656704497E7	1.8179607501652893E7	6019862.094682491	2.1126E8	5294400.0	8053700.0	5330500.0	1.0456E7	1.0276E7	1.1708E7	0	0	0	2	2	2	39	NA	NA	NA	2072	NA	1.0
P62879;Q9BRK4	P62879	13;1	7;1	4;0	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3	2	13	7	4	10	11	8	11	10	12	5	6	4	5	5	6	3	3	2	3	3	4	50.6	29.4	21.5	37.331	340	340;669	1.0	168	0.0	147.42	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.7	36.8	26.2	43.2	36.5	48.5	2.6411E9	1.0427034083946794E8	2.834922317534144E7	9.791671382265994E7	NA	1.0108057923103665E8	1.0500976354508023E8	6.6816706660360746E7	NA	2.0316E8	6477800.0	8385000.0	7143100.0	9128200.0	9667700.0	9611000.0	5	6	6	10	9	7	181	NA	NA	NA	2073	NA	1.0
P62888	P62888	8	8	7	60S ribosomal protein L30	RPL30	60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2	1	8	8	7	8	8	8	7	8	8	8	8	8	7	8	8	7	7	7	7	7	7	71.3	71.3	71.3	12.784	115	115	1.0	406	0.0	149.81	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	71.3	71.3	71.3	71.3	71.3	71.3	9.6677E9	4.6427540677132875E8	1.009957037001057E8	4.6064265266414607E8	1.1290800288179167E8	3.931485461566575E8	4.285598485356022E8	3.588370888772923E8	1.7451105989425716E8	1.2085E9	4.7778E7	4.9801E7	5.5814E7	5.3683E7	5.9544E7	5.8793E7	11	11	10	11	11	13	213	NA	NA	NA	2074	NA	1.0
Q59GN2;P62891	Q59GN2;P62891	2;2	2;2	2;2	Putative 60S ribosomal protein L39-like 5;60S ribosomal protein L39	RPL39P5;RPL39	Putative 60S ribosomal protein L39-like 5 OS=Homo sapiens GN=RPL39P5 PE=5 SV=2;60S ribosomal protein L39 OS=Homo sapiens GN=RPL39 PE=1 SV=2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	19.6	19.6	19.6	6.3225	51	51;51	1.0	62	0.0	4.023	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.6	19.6	19.6	19.6	19.6	19.6	5.2299E9	2.528767274440876E8	7.043792683712739E7	2.534003755881509E8	2.528767274440876E8	2.369113298701576E8	2.3965496717302266E8	1.5759075543970186E8	2.369113298701576E8	5.2299E9	2.0628E8	2.7604E8	2.4344E8	2.6452E8	2.7259E8	2.4247E8	3	4	3	2	3	3	56	NA	NA	NA	2075	NA	NA
P62899	P62899	5	5	5	60S ribosomal protein L31	RPL31	60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=1 SV=1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	33.6	33.6	33.6	14.463	125	125	1.0	161	0.0	14.969	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	33.6	33.6	33.6	33.6	33.6	33.6	7.2723E9	2.7120347441043204E8	8.729803914917892E7	3.448162504797873E8	1.6708201693325909E7	3.516182408417816E8	3.379081058946125E8	2.560963236297136E8	2.510539228543944E7	1.0389E9	3.1748E7	4.909E7	4.7558E7	5.5396E7	5.4204E7	5.1251E7	5	6	5	6	7	5	118	NA	NA	NA	2076	NA	1.0
P62906	P62906	9	9	7	60S ribosomal protein L10a	RPL10A	60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2	1	9	9	7	7	8	8	8	9	8	7	8	8	8	9	8	7	7	7	7	7	7	43.8	43.8	40.6	24.831	217	217	1.0	354	0.0	97.224	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	40.6	43.8	43.8	43.8	43.8	43.8	2.3374E10	9.81006071302783E8	2.7877984391297257E8	1.135423485550386E9	NA	1.018044282475818E9	1.0218609440049587E9	9.78278844391403E8	3555204.0992519185	1.798E9	6.316E7	8.4782E7	8.5838E7	8.3484E7	8.5053E7	8.1314E7	15	14	13	14	15	14	301	NA	NA	NA	2077	NA	1.0
P62910	P62910	7	7	7	60S ribosomal protein L32	RPL32	60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2	1	7	7	7	6	6	5	7	7	6	6	6	5	7	7	6	6	6	5	7	7	6	51.1	51.1	51.1	15.86	135	135	1.0	167	0.0	68.558	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	43.7	45.9	37.8	51.1	51.1	45.9	1.4629E10	7.537440734426782E7	2.640689481781583E7	1.2252036394762842E8	3599477.1671333653	6.360801693166455E8	6.899259899469295E8	6.088960185756794E8	9030057.549729127	2.0899E9	6.5649E7	8.9073E7	7.7593E7	9.816E7	1.0822E8	1.0316E8	7	5	7	8	8	9	179	NA	NA	NA	2078	1.0	1.0
